index,State,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
418,Montana,2001,21,906961,2.3,1.4,3.5
419,Montana,2002,21,911667,2.3,1.4,3.5
420,Montana,2003,46,919630,5,3.7,6.7
421,Montana,2004,46,930009,4.9,3.6,6.6
422,Montana,2005,47,940102,5,3.7,6.6
423,Montana,2006,52,952692,5.5,4.1,7.2
424,Montana,2007,62,964706,6.4,4.9,8.2
425,Montana,2008,70,976415,7.2,5.6,9.1
426,Montana,2009,94,983982,9.6,7.7,11.7
427,Montana,2010,55,989415,5.6,4.2,7.2
428,Montana,2011,63,998199,6.3,4.8,8.1
429,Montana,2012,53,1005141,5.3,3.9,6.9
430,Montana,2013,68,1015165,6.7,5.2,8.5
431,Montana,2014,54,1023579,5.3,4,6.9
432,Nebraska,1999,Suppressed,1704764,Suppressed,Suppressed,Suppressed
433,Nebraska,2000,16,1711263,Unreliable,0.5,1.5
434,Nebraska,2001,32,1719836,1.9,1.3,2.6
435,Nebraska,2002,25,1728292,1.4,0.9,2.1
436,Nebraska,2003,14,1738643,Unreliable,0.4,1.4
437,Nebraska,2004,26,1749370,1.5,1,2.2
438,Nebraska,2005,43,1761497,2.4,1.8,3.3
439,Nebraska,2006,34,1772693,1.9,1.3,2.7
440,Nebraska,2007,41,1783440,2.3,1.6,3.1
441,Nebraska,2008,30,1796378,1.7,1.1,2.4
442,Nebraska,2009,68,1812683,3.8,2.9,4.8
443,Nebraska,2010,61,1826341,3.3,2.6,4.3
444,Nebraska,2011,54,1842641,2.9,2.2,3.8
445,Nebraska,2012,60,1855525,3.2,2.5,4.2
446,Nebraska,2013,42,1868516,2.2,1.6,3
447,Nebraska,2014,60,1881503,3.2,2.4,4.1
448,Nevada,1999,166,1934718,8.6,7.3,9.9
449,Nevada,2000,203,1998257,10.2,8.8,11.6
450,Nevada,2001,205,2098399,9.8,8.4,11.1
451,Nevada,2002,270,2173791,12.4,10.9,13.9
452,Nevada,2003,287,2248850,12.8,11.3,14.2
453,Nevada,2004,330,2346222,14.1,12.5,15.6
454,Nevada,2005,365,2432143,15,13.5,16.5
455,Nevada,2006,378,2522658,15,13.5,16.5
456,Nevada,2007,414,2601072,15.9,14.4,17.4
457,Nevada,2008,437,2653630,16.5,14.9,18
458,Nevada,2009,498,2684665,18.5,16.9,20.2
459,Nevada,2010,520,2700551,19.3,17.6,20.9
460,Nevada,2011,532,2723322,19.5,17.9,21.2
461,Nevada,2012,493,2758931,17.9,16.3,19.4
462,Nevada,2013,443,2790136,15.9,14.4,17.4
463,Nevada,2014,413,2839099,14.5,13.1,15.9
464,New Hampshire,1999,41,1222014,3.4,2.4,4.6
465,New Hampshire,2000,29,1235786,2.3,1.6,3.4
466,New Hampshire,2001,53,1255517,4.2,3.2,5.5
467,New Hampshire,2002,83,1269089,6.5,5.2,8.1
468,New Hampshire,2003,99,1279840,7.7,6.3,9.4
469,New Hampshire,2004,92,1290121,7.1,5.7,8.7
470,New Hampshire,2005,111,1298492,8.5,7,10.1
471,New Hampshire,2006,108,1308389,8.3,6.7,9.8
472,New Hampshire,2007,148,1312540,11.3,9.5,13.1
473,New Hampshire,2008,94,1315906,7.1,5.8,8.7
474,New Hampshire,2009,127,1316102,9.6,8,11.3
475,New Hampshire,2010,119,1316470,9,7.4,10.7
476,New Hampshire,2011,158,1318194,12,10.1,13.9
477,New Hampshire,2012,134,1320718,10.1,8.4,11.9
478,New Hampshire,2013,161,1323459,12.2,10.3,14
479,New Hampshire,2014,302,1326813,22.8,20.2,25.3
480,New Jersey,1999,344,8359592,4.1,3.7,4.5
481,New Jersey,2000,363,8414350,4.3,3.9,4.8
482,New Jersey,2001,419,8492671,4.9,4.5,5.4
483,New Jersey,2002,505,8552643,5.9,5.4,6.4
484,New Jersey,2003,466,8601402,5.4,4.9,5.9
485,New Jersey,2004,326,8634561,3.8,3.4,4.2
486,New Jersey,2005,454,8651974,5.2,4.8,5.7
487,New Jersey,2006,377,8661679,4.4,3.9,4.8
488,New Jersey,2007,348,8677885,4,3.6,4.4
489,New Jersey,2008,347,8711090,4,3.6,4.4
490,New Jersey,2009,57,8755602,0.7,0.5,0.8
491,New Jersey,2010,384,8791894,4.4,3.9,4.8
492,New Jersey,2011,478,8821155,5.4,4.9,5.9
493,New Jersey,2012,625,8864590,7.1,6.5,7.6
494,New Jersey,2013,711,8899339,8,7.4,8.6
495,New Jersey,2014,757,8938175,8.5,7.9,9.1
496,New Mexico,1999,187,1808082,10.3,8.9,11.8
497,New Mexico,2000,190,1819046,10.4,9,11.9
498,New Mexico,2001,155,1831690,8.5,7.1,9.8
499,New Mexico,2002,205,1855309,11,9.5,12.6
500,New Mexico,2003,228,1877574,12.1,10.6,13.7
501,New Mexico,2004,192,1903808,10.1,8.7,11.5
502,New Mexico,2005,219,1932274,11.3,9.8,12.8
503,New Mexico,2006,252,1962137,12.8,11.3,14.4
504,New Mexico,2007,272,1990070,13.7,12,15.3
505,New Mexico,2008,330,2010662,16.4,14.6,18.2
506,New Mexico,2009,212,2036802,10.4,9,11.8
507,New Mexico,2010,201,2059179,9.8,8.4,11.1
508,New Mexico,2011,254,2082224,12.2,10.7,13.7
509,New Mexico,2012,339,2085538,16.3,14.5,18
510,New Mexico,2013,350,2085287,16.8,15,18.5
511,New Mexico,2014,416,2085572,19.9,18,21.9
512,New York,1999,664,18882725,3.5,3.2,3.8
513,New York,2000,521,18976457,2.7,2.5,3
514,New York,2001,654,19082838,3.4,3.2,3.7
515,New York,2002,586,19137800,3.1,2.8,3.3
516,New York,2003,614,19175939,3.2,2.9,3.5
517,New York,2004,514,19171567,2.7,2.4,2.9
518,New York,2005,580,19132610,3,2.8,3.3
519,New York,2006,1056,19104631,5.5,5.2,5.9
520,New York,2007,1064,19132335,5.6,5.2,5.9
521,New York,2008,1169,19212436,6.1,5.7,6.4
522,New York,2009,1107,19307066,5.7,5.4,6.1
523,New York,2010,1115,19378102,5.8,5.4,6.1
524,New York,2011,1417,19465197,7.3,6.9,7.7
525,New York,2012,1576,19570261,8.1,7.7,8.5
526,New York,2013,1732,19651127,8.8,8.4,9.2
527,New York,2014,1787,19746227,9,8.6,9.5
528,North Carolina,1999,161,7949361,2,1.7,2.3
529,North Carolina,2000,292,8049313,3.6,3.2,4
530,North Carolina,2001,342,8210122,4.2,3.7,4.6
531,North Carolina,2002,412,8326201,4.9,4.5,5.4
532,North Carolina,2003,506,8422501,6,5.5,6.5
533,North Carolina,2004,576,8553152,6.7,6.2,7.3
534,North Carolina,2005,659,8705407,7.6,7,8.1
535,North Carolina,2006,708,8917270,7.9,7.4,8.5
536,North Carolina,2007,758,9118037,8.3,7.7,8.9
537,North Carolina,2008,859,9309449,9.2,8.6,9.8
538,North Carolina,2009,864,9449566,9.1,8.5,9.8
539,North Carolina,2010,787,9535483,8.3,7.7,8.8
540,North Carolina,2011,829,9656401,8.6,8,9.2
541,North Carolina,2012,841,9752073,8.6,8,9.2
542,North Carolina,2013,840,9848060,8.5,8,9.1
543,North Carolina,2014,979,9943964,9.8,9.2,10.5
544,North Dakota,1999,Suppressed,644259,Suppressed,Suppressed,Suppressed
545,North Dakota,2000,Suppressed,642200,Suppressed,Suppressed,Suppressed
546,North Dakota,2001,Suppressed,639062,Suppressed,Suppressed,Suppressed
547,North Dakota,2002,14,638168,Unreliable,1.2,3.7
548,North Dakota,2003,10,638817,Unreliable,0.8,2.9
549,North Dakota,2004,13,644705,Unreliable,1.1,3.4
550,North Dakota,2005,Suppressed,646089,Suppressed,Suppressed,Suppressed
551,North Dakota,2006,Suppressed,649422,Suppressed,Suppressed,Suppressed
552,North Dakota,2007,17,652822,Unreliable,1.5,4.2
553,North Dakota,2008,32,657569,4.9,3.3,6.9
554,North Dakota,2009,18,664968,Unreliable,1.6,4.3
555,North Dakota,2010,18,672591,Unreliable,1.6,4.2
556,North Dakota,2011,10,683932,Unreliable,0.7,2.7
557,North Dakota,2012,Suppressed,699628,Suppressed,Suppressed,Suppressed
558,North Dakota,2013,14,723393,Unreliable,1.1,3.2
559,North Dakota,2014,34,739482,4.6,3.2,6.4
560,Ohio,1999,180,11335454,1.6,1.4,1.8
561,Ohio,2000,270,11353140,2.4,2.1,2.7
562,Ohio,2001,356,11387404,3.1,2.8,3.5
563,Ohio,2002,459,11407889,4,3.7,4.4
564,Ohio,2003,398,11434788,3.5,3.1,3.8
565,Ohio,2004,557,11452251,4.9,4.5,5.3
566,Ohio,2005,591,11463320,5.2,4.7,5.6
567,Ohio,2006,675,11481213,5.9,5.4,6.3
568,Ohio,2007,755,11500468,6.6,6.1,7
569,Ohio,2008,863,11515391,7.5,7,8
570,Ohio,2009,716,11528896,6.2,5.8,6.7
571,Ohio,2010,1197,11536504,10.4,9.8,11
572,Ohio,2011,1333,11544951,11.5,10.9,12.2
573,Ohio,2012,1403,11544225,12.2,11.5,12.8
574,Ohio,2013,1695,11570808,14.6,14,15.3
575,Ohio,2014,2175,11594163,18.8,18,19.5
576,Oklahoma,1999,91,3437147,2.6,2.1,3.3
577,Oklahoma,2000,136,3450654,3.9,3.3,4.6
578,Oklahoma,2001,170,3467100,4.9,4.2,5.6
579,Oklahoma,2002,152,3489080,4.4,3.7,5
580,Oklahoma,2003,262,3504892,7.5,6.6,8.4
581,Oklahoma,2004,325,3525233,9.2,8.2,10.2
582,Oklahoma,2005,319,3548597,9,8,10
583,Oklahoma,2006,394,3594090,11,9.9,12
584,Oklahoma,2007,500,3634349,13.8,12.6,15
585,Oklahoma,2008,416,3668976,11.3,10.2,12.4
586,Oklahoma,2009,583,3717572,15.7,14.4,17
587,Oklahoma,2010,523,3751351,13.9,12.7,15.1
588,Oklahoma,2011,492,3791508,13,11.8,14.1
589,Oklahoma,2012,538,3814820,14.1,12.9,15.3
590,Oklahoma,2013,521,3850568,13.5,12.4,14.7
591,Oklahoma,2014,504,3878051,13,11.9,14.1
592,Oregon,1999,201,3393941,5.9,5.1,6.7
593,Oregon,2000,178,3421399,5.2,4.4,6
594,Oregon,2001,198,3467937,5.7,4.9,6.5
595,Oregon,2002,247,3513424,7,6.2,7.9
596,Oregon,2003,264,3547376,7.4,6.5,8.3
597,Oregon,2004,274,3569463,7.7,6.8,8.6
598,Oregon,2005,318,3613202,8.8,7.8,9.8
599,Oregon,2006,396,3670883,10.8,9.7,11.9
600,Oregon,2007,362,3722417,9.7,8.7,10.7
601,Oregon,2008,348,3768748,9.2,8.3,10.2
602,Oregon,2009,382,3808600,10,9,11
603,Oregon,2010,337,3831074,8.8,7.9,9.7
604,Oregon,2011,402,3871859,10.4,9.4,11.4
605,Oregon,2012,369,3899353,9.5,8.5,10.4
606,Oregon,2013,310,3930065,7.9,7,8.8
607,Oregon,2014,347,3970239,8.7,7.8,9.7
608,Pennsylvania,1999,328,12263805,2.7,2.4,3
609,Pennsylvania,2000,330,12281054,2.7,2.4,3
610,Pennsylvania,2001,266,12298970,2.2,1.9,2.4
611,Pennsylvania,2002,357,12331031,2.9,2.6,3.2
612,Pennsylvania,2003,481,12374658,3.9,3.5,4.2
613,Pennsylvania,2004,484,12410722,3.9,3.6,4.2
614,Pennsylvania,2005,524,12449990,4.2,3.8,4.6
615,Pennsylvania,2006,429,12510809,3.4,3.1,3.8
616,Pennsylvania,2007,501,12563937,4,3.6,4.3
617,Pennsylvania,2008,620,12612285,4.9,4.5,5.3
618,Pennsylvania,2009,654,12666858,5.2,4.8,5.6
619,Pennsylvania,2010,640,12702379,5,4.6,5.4
620,Pennsylvania,2011,770,12742886,6,5.6,6.5
621,Pennsylvania,2012,840,12763536,6.6,6.1,7
622,Pennsylvania,2013,970,12773801,7.6,7.1,8.1
623,Pennsylvania,2014,1110,12787209,8.7,8.2,9.2
624,Rhode Island,1999,36,1040402,3.5,2.4,4.8
625,Rhode Island,2000,61,1048319,5.8,4.5,7.5
626,Rhode Island,2001,86,1057142,8.1,6.5,10
627,Rhode Island,2002,77,1065995,7.2,5.7,9
628,Rhode Island,2003,108,1071342,10.1,8.2,12
629,Rhode Island,2004,80,1074579,7.4,5.9,9.3
630,Rhode Island,2005,122,1067916,11.4,9.4,13.5
631,Rhode Island,2006,132,1063096,12.4,10.3,14.5
632,Rhode Island,2007,89,1057315,8.4,6.8,10.4
633,Rhode Island,2008,133,1055003,12.6,10.5,14.7
634,Rhode Island,2009,117,1053646,11.1,9.1,13.1
635,Rhode Island,2010,112,1052567,10.6,8.7,12.6
636,Rhode Island,2011,145,1051302,13.8,11.5,16
637,Rhode Island,2012,143,1050292,13.6,11.4,15.8
638,Rhode Island,2013,195,1051511,18.5,15.9,21.1
639,Rhode Island,2014,211,1055173,20,17.3,22.7
640,South Carolina,1999,50,3974682,1.3,0.9,1.7
641,South Carolina,2000,90,4012012,2.2,1.8,2.8
642,South Carolina,2001,89,4064995,2.2,1.8,2.7
643,South Carolina,2002,85,4107795,2.1,1.7,2.6
644,South Carolina,2003,95,4150297,2.3,1.9,2.8
645,South Carolina,2004,134,4210921,3.2,2.6,3.7
646,South Carolina,2005,154,4270150,3.6,3,4.2
647,South Carolina,2006,234,4357847,5.4,4.7,6.1
648,South Carolina,2007,206,4444110,4.6,4,5.3
649,South Carolina,2008,228,4528996,5,4.4,5.7
650,South Carolina,2009,248,4589872,5.4,4.7,6.1
651,South Carolina,2010,278,4625364,6,5.3,6.7
652,South Carolina,2011,249,4679230,5.3,4.7,6
653,South Carolina,2012,245,4723723,5.2,4.5,5.8
654,South Carolina,2013,250,4774839,5.2,4.6,5.9
655,South Carolina,2014,530,4832482,11,10,11.9
656,South Dakota,1999,Suppressed,750412,Suppressed,Suppressed,Suppressed
657,South Dakota,2000,Suppressed,754844,Suppressed,Suppressed,Suppressed
658,South Dakota,2001,10,757972,Unreliable,0.6,2.4
659,South Dakota,2002,13,760020,Unreliable,0.9,2.9
660,South Dakota,2003,10,763729,Unreliable,0.6,2.4
661,South Dakota,2004,21,770396,2.7,1.7,4.2
662,South Dakota,2005,22,775493,2.8,1.8,4.3
663,South Dakota,2006,24,783033,3.1,2,4.6
664,South Dakota,2007,21,791623,2.7,1.6,4.1
665,South Dakota,2008,32,799124,4,2.7,5.7
666,South Dakota,2009,35,807067,4.3,3,6
667,South Dakota,2010,33,814180,4.1,2.8,5.7
668,South Dakota,2011,35,824082,4.2,3,5.9
669,South Dakota,2012,26,833354,3.1,2,4.6
670,South Dakota,2013,34,844877,4,2.8,5.6
671,South Dakota,2014,33,853175,3.9,2.7,5.4
672,Tennessee,1999,91,5638706,1.6,1.3,2
673,Tennessee,2000,103,5689283,1.8,1.5,2.2
674,Tennessee,2001,145,5750789,2.5,2.1,2.9
675,Tennessee,2002,179,5795918,3.1,2.6,3.5
676,Tennessee,2003,312,5847812,5.3,4.7,5.9
677,Tennessee,2004,403,5910809,6.8,6.2,7.5
678,Tennessee,2005,466,5991057,7.8,7.1,8.5
679,Tennessee,2006,483,6088766,7.9,7.2,8.6
680,Tennessee,2007,494,6175727,8,7.3,8.7
681,Tennessee,2008,499,6247411,8,7.3,8.7
682,Tennessee,2009,548,6306019,8.7,8,9.4
683,Tennessee,2010,652,6346105,10.3,9.5,11.1
684,Tennessee,2011,663,6403353,10.4,9.6,11.1
685,Tennessee,2012,748,6456243,11.6,10.8,12.4
686,Tennessee,2013,789,6495978,12.1,11.3,13
687,Tennessee,2014,892,6549352,13.6,12.7,14.5
688,Texas,1999,379,20558220,1.8,1.7,2
689,Texas,2000,457,20851820,2.2,2,2.4
690,Texas,2001,602,21319622,2.8,2.6,3
691,Texas,2002,788,21690325,3.6,3.4,3.9
692,Texas,2003,825,22030931,3.7,3.5,4
693,Texas,2004,836,22394023,3.7,3.5,4
694,Texas,2005,908,22778123,4,3.7,4.2
695,Texas,2006,1107,23359580,4.7,4.5,5
696,Texas,2007,1064,23831983,4.5,4.2,4.7
697,Texas,2008,986,24309039,4.1,3.8,4.3
698,Texas,2009,1197,24801761,4.8,4.6,5.1
699,Texas,2010,1171,25145561,4.7,4.4,4.9
700,Texas,2011,1218,25674681,4.7,4.5,5
701,Texas,2012,1179,26059203,4.5,4.3,4.8
702,Texas,2013,1114,26448193,4.2,4,4.5
703,Texas,2014,1219,26956958,4.5,4.3,4.8
704,Utah,1999,145,2203482,6.6,5.5,7.7
705,Utah,2000,159,2233169,7.1,6,8.2
706,Utah,2001,167,2283715,7.3,6.2,8.4
707,Utah,2002,213,2324815,9.2,7.9,10.4
708,Utah,2003,272,2360137,11.5,10.2,12.9
709,Utah,2004,275,2401580,11.5,10.1,12.8
710,Utah,2005,345,2457719,14,12.6,15.5
711,Utah,2006,343,2525507,13.6,12.1,15
712,Utah,2007,382,2597746,14.7,13.2,16.2
713,Utah,2008,371,2663029,13.9,12.5,15.3
714,Utah,2009,393,2723421,14.4,13,15.9
715,Utah,2010,353,2763885,12.8,11.4,14.1
716,Utah,2011,394,2817222,14,12.6,15.4
717,Utah,2012,438,2855287,15.3,13.9,16.8
718,Utah,2013,444,2900872,15.3,13.9,16.7
719,Utah,2014,471,2942902,16,14.6,17.5
720,Vermont,1999,17,604683,Unreliable,1.6,4.5
721,Vermont,2000,24,608827,3.9,2.5,5.9
722,Vermont,2001,39,612223,6.4,4.5,8.7
723,Vermont,2002,41,615442,6.7,4.8,9
724,Vermont,2003,50,617858,8.1,6,10.7
725,Vermont,2004,41,619920,6.6,4.7,9
726,Vermont,2005,46,621215,7.4,5.4,9.9
727,Vermont,2006,59,622892,9.5,7.2,12.2
728,Vermont,2007,54,623481,8.7,6.5,11.3
729,Vermont,2008,59,624151,9.5,7.2,12.2
730,Vermont,2009,46,624817,7.4,5.4,9.8
731,Vermont,2010,45,625741,7.2,5.2,9.6
732,Vermont,2011,60,626431,9.6,7.3,12.3
733,Vermont,2012,57,626011,9.1,6.9,11.8
734,Vermont,2013,75,626630,12,9.4,15
735,Vermont,2014,72,626562,11.5,9,14.5
736,Virginia,1999,210,7000174,3,2.6,3.4
737,Virginia,2000,260,7078515,3.7,3.2,4.1
738,Virginia,2001,326,7198362,4.5,4,5
739,Virginia,2002,361,7286873,5,4.4,5.5
740,Virginia,2003,374,7366977,5.1,4.6,5.6
741,Virginia,2004,399,7475575,5.3,4.8,5.9
742,Virginia,2005,385,7577105,5.1,4.6,5.6
743,Virginia,2006,427,7673725,5.6,5,6.1
744,Virginia,2007,520,7751000,6.7,6.1,7.3
745,Virginia,2008,501,7833496,6.4,5.8,7
746,Virginia,2009,492,7925937,6.2,5.7,6.8
747,Virginia,2010,400,8001024,5,4.5,5.5
748,Virginia,2011,582,8096604,7.2,6.6,7.8
749,Virginia,2012,547,8185867,6.7,6.1,7.2
750,Virginia,2013,651,8260405,7.9,7.3,8.5
751,Virginia,2014,775,8326289,9.3,8.7,10
752,Washington,1999,372,5842564,6.4,5.7,7
753,Washington,2000,374,5894121,6.3,5.7,7
754,Washington,2001,332,5985722,5.5,4.9,6.1
755,Washington,2002,474,6052349,7.8,7.1,8.5
756,Washington,2003,492,6104115,8.1,7.3,8.8
757,Washington,2004,606,6178645,9.8,9,10.6
758,Washington,2005,629,6257305,10.1,9.3,10.8
759,Washington,2006,689,6370753,10.8,10,11.6
760,Washington,2007,675,6461587,10.4,9.7,11.2
761,Washington,2008,712,6562231,10.8,10.1,11.6
762,Washington,2009,737,6667426,11.1,10.3,11.9
763,Washington,2010,648,6724540,9.6,8.9,10.4
764,Washington,2011,712,6830038,10.4,9.7,11.2
765,Washington,2012,717,6897012,10.4,9.6,11.2
766,Washington,2013,667,6971406,9.6,8.8,10.3
767,Washington,2014,692,7061530,9.8,9.1,10.5
768,West Virginia,1999,34,1811799,1.9,1.3,2.6
769,West Virginia,2000,52,1808344,2.9,2.1,3.8
770,West Virginia,2001,150,1801481,8.3,7,9.7
771,West Virginia,2002,183,1805414,10.1,8.7,11.6
772,West Virginia,2003,203,1812295,11.2,9.7,12.7
773,West Virginia,2004,273,1816438,15,13.2,16.8
774,West Virginia,2005,154,1820492,8.5,7.1,9.8
775,West Virginia,2006,299,1827912,16.4,14.5,18.2
776,West Virginia,2007,347,1834052,18.9,16.9,20.9
777,West Virginia,2008,387,1840310,21,18.9,23.1
778,West Virginia,2009,193,1847775,10.4,9,11.9
779,West Virginia,2010,495,1852994,26.7,24.4,29.1
780,West Virginia,2011,596,1855364,32.1,29.5,34.7
781,West Virginia,2012,513,1855413,27.6,25.3,30
782,West Virginia,2013,518,1854304,27.9,25.5,30.3
783,West Virginia,2014,585,1850326,31.6,29.1,34.2
784,Wisconsin,1999,85,5332666,1.6,1.3,2
785,Wisconsin,2000,117,5363675,2.2,1.8,2.6
786,Wisconsin,2001,143,5406835,2.6,2.2,3.1
787,Wisconsin,2002,173,5445162,3.2,2.7,3.7
788,Wisconsin,2003,203,5479203,3.7,3.2,4.2
789,Wisconsin,2004,226,5514026,4.1,3.6,4.6
790,Wisconsin,2005,281,5546166,5.1,4.5,5.7
791,Wisconsin,2006,352,5577655,6.3,5.7,7
792,Wisconsin,2007,390,5610775,7,6.3,7.6
793,Wisconsin,2008,380,5640996,6.7,6.1,7.4
794,Wisconsin,2009,406,5669264,7.2,6.5,7.9
795,Wisconsin,2010,420,5686986,7.4,6.7,8.1
796,Wisconsin,2011,484,5711767,8.5,7.7,9.2
797,Wisconsin,2012,496,5726398,8.7,7.9,9.4
798,Wisconsin,2013,604,5742713,10.5,9.7,11.4
799,Wisconsin,2014,640,5757564,11.1,10.3,12
800,Wyoming,1999,Suppressed,491780,Suppressed,Suppressed,Suppressed
801,Wyoming,2000,10,493782,Unreliable,1,3.7
802,Wyoming,2001,Suppressed,494657,Suppressed,Suppressed,Suppressed
803,Wyoming,2002,17,500017,Unreliable,2,5.4
804,Wyoming,2003,Suppressed,503453,Suppressed,Suppressed,Suppressed
805,Wyoming,2004,14,509106,Unreliable,1.5,4.6
806,Wyoming,2005,10,514157,Unreliable,0.9,3.6
807,Wyoming,2006,14,522667,Unreliable,1.5,4.5
808,Wyoming,2007,25,534876,4.7,3,6.9
809,Wyoming,2008,48,546043,8.8,6.5,11.7
810,Wyoming,2009,34,559851,6.1,4.2,8.5
811,Wyoming,2010,49,563626,8.7,6.4,11.5
812,Wyoming,2011,47,568158,8.3,6.1,11
813,Wyoming,2012,47,576412,8.2,6,10.8
814,Wyoming,2013,52,582658,8.9,6.7,11.7
815,Wyoming,2014,57,584153,9.8,7.4,12.6
